ral,hex,description,
RAL 7005,#646B63,Muisgrijs,
RAL 7006,#6D6552,Beigegrijs,
RAL 7008,#6A5F31,Kakigrijs,
RAL 7009,#4D5645,Groengrijs,
RAL 7010,#4C514A,Zeildoekgrijs,
RAL 7011,#434B4D,IJzergrijs,
RAL 7012,#4E5754,Bazaltgrijs,
RAL 7013,#464531,Bruingrijs,
RAL 7015,#434750,Leigrijs,
RAL 7016,#293133,Antracietgrijs,
RAL 7021,#23282B,Zwartgrijs,
RAL 7022,#332F2C,Ombergrijs,
RAL 7023,#686C5E,Betongrijs,
RAL 7024,#474A51,Grafietgrijs,
RAL 7026,#2F353B,Granietgrijs,
RAL 7030,#8B8C7A,Steengrijs,
RAL 7031,#474B4E,Blauwgrijs,
RAL 7032,#B8B799,Kiezelgrijs,
RAL 7033,#7D8471,Cementgrijs,
RAL 7034,#8F8B66,Geelgrijs,
RAL 7035,#D7D7D7,Lichtgrijs,
RAL 7036,#7F7679,Platinagrijs,
RAL 7037,#7D7F7D,Stofgrijs,
RAL 7038,#B5B8B1,Agaatgrijs,
RAL 7039,#6C6960,Kwartsgrijs,
RAL 7040,#9DA1AA,Venstergrijs,
RAL 7042,#8D948D,Verkeesgrijs A,
RAL 7043,#4E5452,Verkeersgrijs B,
RAL 7044,#CAC4B0,Zijdegrijs,
RAL 7045,#909090,Telegrijs 1,
RAL 7046,#82898F,Telegrijs 2,
RAL 7047,#D0D0D0,Telegrijs 4,
RAL 7048,#898176,Parelmoer- muisgrijs,
RAL 8000,#826C34,Groenbruin,
RAL 8001,#955F20,Okerbruin,
RAL 8002,#6C3B2A,Signaalbruin,
RAL 8003,#734222,Leembruin,
RAL 8004,#8E402A,Koperbruin,
RAL 8007,#59351F,Reebruin,
RAL 8008,#6F4F28,Olijfbruin,
RAL 8011,#5B3A29,Notebruin,
RAL 8012,#592321,Roodbruin,
RAL 8014,#382C1E,Sepiabruin,
RAL 8015,#633A34,Kastanjebruin,
RAL 8016,#4C2F27,Mahoniebruin,
RAL 8017,#45322E,Chocoladebruin,
RAL 8019,#403A3A,Grijsbruin,
RAL 8022,#212121,Zwartbruin,
RAL 8023,#A65E2E,Oranjebruin,
RAL 8024,#79553D,Beigebruin,
RAL 8025,#755C48,Bleekbruin,
RAL 8028,#4E3B31,Terrabruin,
RAL 8029,#763C28,Parelmoerkoper,
RAL 9001,#FDF4E3,Crèmewit,
RAL 9002,#E7EBDA,Grijswit,
RAL 9003,#F4F4F4,Signaalwit,
RAL 9004,#282828,Signaalzwart,
RAL 9005,#0A0A0A,Gitzwart,
RAL 9006,#A5A5A5,Blank aluminiumkleurig,
RAL 9007,#8F8F8F,Grijs aluminiumkleurig,
RAL 9010,#FFFFFF,Zuiverwit,
RAL 9011,#1C1C1C,Grafietzwart,
RAL 9016,#F6F6F6,Verkeerswit,
RAL 9017,#1E1E1E,Verkeerszwart,
RAL 9018,#D7D7D7,Papyruswit,
RAL 9022,#9C9C9C,Parelmoer- lichtgrijs,
RAL 9023,#828282,Parelmoer- donkergrijs,
